date,volume,open,close,high,low,adjclose
6/25/18,2884100,1155,1139.280029,1155.98999,1119.900024,1139.280029
6/26/18,1734400,1144.140015,1132.619995,1146.869995,1129,1132.619995
6/27/18,1726900,1136,1116.939941,1146.209961,1116.699951,1116.939941
6/28/18,1486300,1112.390015,1126.780029,1134,1106.069946,1126.780029
6/29/18,1578100,1132.310059,1129.189941,1141.359985,1127.02002,1129.189941
7/2/18,1160800,1115.349976,1142.109985,1142.98999,1106.599976,1142.109985
7/3/18,822400,1149.420044,1116.280029,1149.910034,1114.430054,1116.280029
7/5/18,1429700,1124.599976,1141.290039,1144.140015,1123.119995,1141.290039
7/6/18,1091000,1141.77002,1155.079956,1156.199951,1137.23999,1155.079956
7/9/18,1079200,1160,1167.280029,1167.930054,1157.22998,1167.280029
7/10/18,1066700,1169.98999,1167.140015,1173.5,1162.560059,1167.140015
7/11/18,1662600,1155.619995,1171.459961,1180.439941,1155.369995,1171.459961
7/12/18,2207400,1174.859985,1201.26001,1201.98999,1173.099976,1201.26001
7/13/18,1630600,1202.800049,1204.420044,1210.439941,1195.290039,1204.420044
7/16/18,1339200,1203.810059,1196.51001,1208.709961,1193.400024,1196.51001
7/17/18,2008100,1182.73999,1213.079956,1218.76001,1182,1213.079956
7/18/18,1947400,1208.530029,1212.910034,1221.589966,1204.560059,1212.910034
7/19/18,1916900,1206.650024,1199.099976,1216.47998,1197.72998,1199.099976
7/20/18,1896900,1199.23999,1197.880005,1210.77002,1196.589966,1197.880005
7/23/18,3272300,1195.660034,1211,1215.099976,1192.01001,1211
7/24/18,5380000,1271,1258.150024,1275,1244.140015,1258.150024
7/25/18,2555200,1252.619995,1275.939941,1278.23999,1249.050049,1275.939941
7/26/18,2734300,1267.180054,1285.5,1287.400024,1263,1285.5
7/27/18,2418100,1289.119995,1252.890015,1291.439941,1244.48999,1252.890015
7/30/18,2194800,1245.050049,1230.040039,1252.890015,1224.170044,1230.040039
7/31/18,1969100,1231.709961,1227.219971,1241.209961,1216.189941,1227.219971
8/1/18,1849700,1239.109985,1232.98999,1245.900024,1224.939941,1232.98999
8/2/18,1735200,1218.5,1241.130005,1244.410034,1218.060059,1241.130005
8/3/18,1063200,1245.180054,1238.160034,1246.52002,1229.420044,1238.160034